Name,Test Point,Configuration,Trust (0-100%),Lead_Pilot
Chuck,A,HH,0.0,Pilot 1
Chuck,B,HH,0.0,Pilot 1
Chuck,A,HA,35.0,Pilot 1
Indy,B,HH,80.0,Pilot 2
Indy,C,HH,100.0,Pilot 2
Indy,D,HH,100.0,Pilot 2
Tars,C,HH,80.0,Pilot 3
Tars,D,HH,25.0,Pilot 3
Tars,C,AA,85.0,Pilot 3
MACH,C,HH,25.0,Pilot 4
MACH,C,HA,35.0,Pilot 4
MACH,C,AA,20.0,Pilot 4
MACH,C,AH,25.0,Pilot 4
Indy,C,HA,75.0,Pilot 2
Indy,D,HA,65.0,Pilot 2
Indy,C,AH,85.0,Pilot 2
Indy,C,AA,80.0,Pilot 2
Indy,D,AA,70.0,Pilot 2
Tars,C,HA,80.0,Pilot 3
Tars,D,HA,75.0,Pilot 3
Chuck,C,HH,69.0,Pilot 1
Chuck,C,HA,10.0,Pilot 1
Chuck,C,AH,10.0,Pilot 1
Chuck,C,AA,25.0,Pilot 1
Tars,C,AH,40.0,Pilot 3
Tars,D,AA,35.0,Pilot 3
Savage,C,HH,75.0,Pilot 5
Savage,C,HA,80.0,Pilot 5
Savage,C,AH,35.0,Pilot 5
Savage,C,AA,80.0,Pilot 5
Pig,C,HH,80.0,Pilot 6
Pig,C,HA,85.0,Pilot 6
Pig,D,HA,85.0,Pilot 6
Assassin,C,HH,65.0,Pilot 7
Assassin,C,HA,80.0,Pilot 7
Assassin,C,AH,45.0,Pilot 7
Assassin,C,AA,65.0,Pilot 7
Chuck,D,HA,80.0,Pilot 1
Chuck,D,AA,20.0,Pilot 1
Pig,C,AH,85.0,Pilot 6
Pig,C,AA,85.0,Pilot 6
Pig,D,AA,85.0,Pilot 6
Savage,D,HA,85.0,Pilot 5
Savage,D,AA,90.0,Pilot 5
Assassin,D,HA,80.0,Pilot 7
Assassin,D,AA,70.0,Pilot 7
